trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.9342604735772135, 'e': 0.5066169923655897}",30,0,-40.41051245237928,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.933326680078202, 'e': 0.5015760690660556}",20,0,-79.67056893781468,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
70,False,"{'a': 0.9323938199059483, 'e': 0.4965853037914095}",30,0,-116.4842391718231,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
71,False,"{'a': 0.9314618921275921, 'e': 0.49164419746096516}",20,0,-74.99137004680348,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.9305308958112057, 'e': 0.4867522559599717}",30,0,-72.47189594675373,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.9296008300257927, 'e': 0.48190899009020244}",30,0,-21.68538342475172,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.9286716938412872, 'e': 0.47711391552103444}",20,8,12.926338423911222,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.9277434863285529, 'e': 0.47236655274101474}",20,8,19.203746125762247,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.9268162065593822, 'e': 0.46766642700990924}",20,0,-30.61046641598486,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.9258898536064953, 'e': 0.46301306831122807}",20,0,-44.337319289270795,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.9249644265435393, 'e': 0.45840601130522357}",25,13,-60.235677290048834,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
79,False,"{'a': 0.9240399244450868, 'e': 0.45384479528235583}",20,8,-2.94830956970224,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.9231163463866358, 'e': 0.44932896411722156}",20,0,20.14255145817714,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.922193691444608, 'e': 0.4448580662229411}",30,4,-42.74231738537495,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 1}",1
82,False,"{'a': 0.9212719586963487, 'e': 0.44043165450599925}",30,1,-40.85839838365308,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 0}",1
83,False,"{'a': 0.9203511472201247, 'e': 0.43604928632153556}",25,0,-26.09330656895278,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
84,False,"{'a': 0.9194312560951247, 'e': 0.43171052342907973}",25,6,-87.77334890105541,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 2}",1
85,False,"{'a': 0.9185122844014574, 'e': 0.4274149319487267}",20,15,2.1762652654830816,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.9175942312201509, 'e': 0.4231620823177488}",25,0,-34.79286358248856,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
87,False,"{'a': 0.9166770956331523, 'e': 0.418951549247639}",25,9,13.24293599309237,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.9157608767233256, 'e': 0.4147829116815814}",30,0,7.437795355423739,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.9148455735744521, 'e': 0.4106557527523455}",25,10,-9.66924600544807,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.9139311852712282, 'e': 0.4065696597405991}",25,3,31.493727915245778,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.9130177108992658, 'e': 0.40252422403363597}",30,20,-24.01416385134913,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.9121051495450904, 'e': 0.3985190410845142}",20,3,-4.351897979653976,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.9111935002961405, 'e': 0.39455371037160114}",20,4,-8.126040681643689,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.910282762240767, 'e': 0.3906278353585211}",35,20,-22.50325644301088,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.9093729344682314, 'e': 0.3867410234545012}",20,13,0.7782024493166717,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.9084640160687062, 'e': 0.38289288597511206}",20,8,3.602862549807239,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.9075560061332727, 'e': 0.37908303810339883}",30,18,19.88342843624648,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.9066489037539209, 'e': 0.37531109885139957}",35,18,-38.265231250728384,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.9057427080235485, 'e': 0.3715766910220457}",20,0,-37.78262013070913,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.9048374180359595, 'e': 0.36787944117144233}",35,27,3.74890598151934,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.9039330328858641, 'e': 0.3642189795715233}",20,0,0.3866723604426947,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.9030295516688768, 'e': 0.3605949401730783}",25,0,32.704752793609444,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.9021269734815165, 'e': 0.3570069605691474}",20,0,-45.14249592757389,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.9012252974212048, 'e': 0.35345468195878016}",20,0,7.519372299722566,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.9003245225862656, 'e': 0.3499377491111554}",20,8,-5.432178196515829,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.899424648075924, 'e': 0.34645581033005746}",20,14,-10.476652686532585,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.8985256729903055, 'e': 0.3430085174187067}",25,0,-36.630233101647256,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
108,False,"{'a': 0.8976275964304349, 'e': 0.33959552564493917}",20,0,-43.07982673754834,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
109,False,"{'a': 0.8967304174982355, 'e': 0.33621649370673334}",25,15,4.863981708450022,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.8958341352965282, 'e': 0.33287108369807955}",30,14,20.867380214028618,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.894938748929031, 'e': 0.32955896107518906}",20,6,-0.5594898082739428,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.8940442575003572, 'e': 0.32627979462303947}",25,14,-32.929049006677694,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.8931506601160155, 'e': 0.3230332564222529}",20,12,-63.677465028228,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.8922579558824083, 'e': 0.3198190218163039}",25,12,4.904756964270456,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.8913661439068313, 'e': 0.3166367693790532}",20,8,11.360420403866499,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
